date,symbol,entryPrice,exitPrice,pnl,solIn,heldMin,exitReason
2026-04-08T17:59:53.919Z,ASTRA,7.855e-7,7.575401303900156e-7,-3.56%,0.02 SOL,0.4min,Ultra-fast reject -3.6%
2026-04-08T18:06:13.706Z,AOW,0.000005973,0.000005732377760836358,-4.03%,0.02 SOL,1.9min,Rapid bleed -4.0%
2026-04-09T02:34:58.969Z,Cupsey,0.000001468,0.000001698123680203775,15.68%,0.02 SOL,0.3min,TP1 +15.7%
2026-04-09T02:35:08.959Z,Cupsey,0.000001468,0.0000015373997039459924,4.73%,0.02 SOL,0.5min,Trail -9.5% from peak
2026-04-09T05:11:50.025Z,KUNEKUNE,0.000005646,0.000004926643214687911,-12.74%,0.02 SOL,1.2min,Rapid bleed -12.7%
2026-04-09T07:59:56.174Z,HOPPY,0.000002136,0.0000020628420176579276,-3.42%,0.02 SOL,0.1min,Ultra-fast reject -3.4%
2026-04-09T08:21:36.335Z,PETE,0.000004199,0.000004054239490973703,-3.45%,0.02 SOL,0.3min,Ultra-fast reject -3.4%
2026-04-09T09:00:16.637Z,Setushi,0.000001388,0.000001225513780171572,-11.71%,0.02 SOL,2.2min,Standard bleed -11.7%
2026-04-09T09:35:37.062Z,KAI,0.00000181,0.0000016415976084542277,-9.30%,0.02 SOL,4.1min,Standard bleed -9.3%
2026-04-09T12:46:53.123Z,Throat,0.000001249,0.0000014461421643528878,15.78%,0.02 SOL,5.9min,TP1 +15.8%
2026-04-09T12:50:13.236Z,Throat,0.000001249,0.0000015661939622325036,25.40%,0.02 SOL,9.3min,Trail -8.8% from peak
2026-04-09T14:01:43.691Z,GURA,0.000001394,0.0000012453020282937113,-10.67%,0.02 SOL,0.0min,Ultra-fast reject -10.7%
2026-04-09T14:08:08.699Z,MOODUANG,0.000002132,0.000002059149568648428,-3.42%,0.02 SOL,0.1min,Ultra-fast reject -3.4%
2026-04-09T14:42:58.880Z,MOODUANG,0.000002013,0.0000023365193118112567,16.07%,0.02 SOL,0.3min,TP1 +16.1%
2026-04-09T14:43:08.898Z,MOODUANG,0.000002013,0.0000021316160474885495,5.89%,0.02 SOL,0.5min,Trail -8.8% from peak
2026-04-09T15:52:49.344Z,MooYor,0.000001417,0.0000016776004748650414,18.39%,0.02 SOL,3.6min,TP1 +18.4%
2026-04-09T15:54:24.373Z,MooYor,0.000001417,0.0000015385667961285104,8.58%,0.02 SOL,5.2min,Trail -8.3% from peak
2026-04-09T16:39:44.781Z,GENZ,0.000001467,0.0000017428106785659146,18.80%,0.02 SOL,1.8min,TP1 +18.8%
2026-04-09T16:42:44.996Z,GENZ,0.000001467,0.0000022198766521934887,51.32%,0.02 SOL,4.8min,TP2 +51.3%
2026-04-09T18:05:55.450Z,GARLIC,7.279e-7,5.796158533941846e-7,-20.37%,0.02 SOL,0.1min,Ultra-fast reject -20.4%
2026-04-09T19:44:38.253Z,Tilly G,0.00000116,0.0000013588878008153328,17.15%,0.02 SOL,1.7min,TP1 +17.1%
2026-04-09T19:46:03.262Z,Tilly G,0.00000116,0.0000013018680108489002,12.23%,0.02 SOL,3.1min,Trail -12.8% from peak
2026-04-09T20:24:38.593Z,ETFPEPE,0.000003802,0.000004376292157241902,15.11%,0.02 SOL,4.6min,TP1 +15.1%
2026-04-09T20:27:23.753Z,ETFPEPE,0.000003802,0.00000386289544167122,1.60%,0.02 SOL,7.4min,Trail -11.7% from peak
2026-04-10T00:44:16.555Z,Stoic,0.000002086,0.0000020137096717922015,-3.47%,0.02 SOL,0.5min,Ultra-fast reject -3.5%
2026-04-10T01:21:36.719Z,CHITOSHI,0.000004457,0.000004021461970435694,-9.77%,0.02 SOL,0.0min,Ultra-fast reject -9.8%
2026-04-10T03:33:47.672Z,Sora,0.000001389,0.0000013429546585949097,-3.31%,0.02 SOL,0.0min,Ultra-fast reject -3.3%
2026-04-10T04:08:12.958Z,ETF,0.00000189,0.0000018076621640093818,-4.36%,0.02 SOL,0.1min,Ultra-fast reject -4.4%
2026-04-10T06:18:03.720Z,HappyHorse,0.000007919,0.0000067378811780969645,-14.91%,0.02 SOL,0.0min,Ultra-fast reject -14.9%
2026-04-10T08:27:14.611Z,SBTI,0.00003392,0.00003282438631083679,-3.23%,0.02 SOL,0.6min,Ultra-fast reject -3.2%
2026-04-10T10:58:40.659Z,TRUMPY,0.000001683,0.0000015655434425556584,-6.98%,0.02 SOL,0.5min,Ultra-fast reject -7.0%
2026-04-10T14:25:56.885Z,SPAX,0.000001159,0.0000013369876371729385,15.36%,0.02 SOL,0.3min,TP1 +15.4%
2026-04-10T14:26:26.839Z,SPAX,0.000001159,0.0000012910583960993005,11.39%,0.02 SOL,0.8min,Trail -10.3% from peak
2026-04-10T14:50:07.008Z,lolnt,0.000002183,0.000002015236466927986,-7.68%,0.02 SOL,0.9min,Ultra-fast reject -7.7%
2026-04-10T20:50:17.566Z,BOTS,0.000001271,0.0000012328191621451053,-3.00%,0.02 SOL,0.0min,Ultra-fast reject -3.0%
2026-04-10T20:59:04.602Z,BOTS,0.00000153,0.0000013949469026503992,-8.83%,0.02 SOL,0.4min,Ultra-fast reject -8.8%
2026-04-11T14:11:46.857Z,TripleC,0.000001475,0.0000014289726285724315,-3.12%,0.02 SOL,0.8min,Ultra-fast reject -3.1%
2026-04-11T16:08:47.884Z,Moritz ,0.000003513,0.000003280263788362685,-6.62%,0.02 SOL,0.4min,Ultra-fast reject -6.6%
2026-04-11T17:41:11.684Z,BABY,0.000001049,0.000001230980521963414,17.35%,0.02 SOL,1.1min,TP1 +17.3%
2026-04-11T17:42:26.703Z,BABY,0.000001049,0.0000016241470359701772,54.83%,0.02 SOL,2.3min,TP2 +54.8%
2026-04-11T18:18:23.573Z,BABY,0.000001234,0.0000014286943526002237,15.78%,0.02 SOL,1.7min,TP1 +15.8%
2026-04-11T18:18:33.584Z,BABY,0.000001234,0.0000013227040411813775,7.19%,0.02 SOL,1.9min,Trail -8.7% from peak
2026-04-11T19:06:47.326Z,BABY,0.000001299,0.000001250826586175777,-3.71%,0.02 SOL,0.2min,Ultra-fast reject -3.7%
2026-04-11T19:31:32.871Z,Trump,0.000001099,9.71356647530384e-7,-11.61%,0.02 SOL,0.1min,Ultra-fast reject -11.6%
2026-04-11T19:53:33.057Z,Trump,0.000001349,0.0000011449502666865095,-15.13%,0.02 SOL,0.1min,Ultra-fast reject -15.1%
2026-04-11T20:00:43.134Z,Ivunka,0.000001621,0.0000015627493680551751,-3.59%,0.02 SOL,0.1min,Ultra-fast reject -3.6%
2026-04-12T14:27:29.348Z,Wifejak,0.000003874,0.0000035992946685663213,-7.09%,0.02 SOL,3.7min,Standard bleed -7.1%
2026-04-12T15:34:09.801Z,YN,8.586e-7,9.951131106550505e-7,15.90%,0.02 SOL,4.1min,TP1 +15.9%
2026-04-12T15:40:04.841Z,YN,8.586e-7,9.268157760567411e-7,7.95%,0.02 SOL,10.1min,Trail -8.3% from peak
